"","time","Y","Ca","Cap","Cf","S_0","IC_0","IA_0","IU_0","R_0","Tr_0","Sm_0","Rm_0","S_1","IC_1","IA_1","IU_1","R_1","Tr_1","Sm_1","Rm_1","S_2","IC_2","IA_2","IU_2","R_2","Tr_2","Sm_2","Rm_2","S_3","IC_3","IA_3","IU_3","R_3","Tr_3","Sm_3","Rm_3"
"1",0,0,267287670.774071,56055508.4532756,0,4500,0,1000,0,4500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0.0833333333333333,0.0833333333333333,267287670.774071,56055510.4428606,0.0538626461929811,4647.13953451817,15.4702564928833,411.939078734702,571.191597582222,4353.48565944954,0.193868318320271,0.00644645262929724,0.573558451538341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0.166666666666667,0.166666666666667,267287670.774071,56055512.8036627,0.122359961972934,4782.55048643199,19.9686903191742,215.191386251477,696.13689380599,4285.10521567127,0.27105161372204,0.0094219923277769,0.766853914046094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0.25,0.25,267287670.774071,56055516.4901555,0.22786817431045,4891.69935289048,28.6254054266005,170.209653726089,694.01764270848,4213.78530691579,0.440026796487808,0.0143126158425018,1.20829892023003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0.333333333333333,0.333333333333333,267287670.774071,56055522.6333285,0.40316552840494,4960.44001079652,41.7621807750314,194.85954630692,683.794146162094,4116.36490573086,0.738997101552262,0.0236084497877975,2.01660467723739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0.416666666666667,0.416666666666667,267287670.774071,56055532.8585429,0.695617938287405,4973.7024275198,59.3162807410904,260.002568070588,711.741265555327,3990.6367592697,1.21420380668553,0.0393880735001434,3.34710696330444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0.5,0.5,267287670.774071,56055548.7426599,1.15438089184399,4922.82729002444,78.5526316835212,349.58892973767,794.810694070582,3847.20794664181,1.80373087186903,0.062230284251604,5.14654668584982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0.583333333333333,0.583333333333333,267287670.774071,56055569.7697852,1.77333090605361,4820.75311753266,92.0389101532656,437.515119504088,929.188206588682,3711.53966809457,2.19584473933231,0.0854335875137575,6.68369979987979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",0.666666666666667,0.666666666666667,267287670.774071,56055591.4815993,2.43006764579668,4710.39217928948,90.8439673587344,483.000259891929,1086.60739749555,3620.32284119498,2.01290677212603,0.0935060297165907,6.72694196748451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",0.75,0.75,267287670.774071,56055607.9714741,2.94521060451953,4646.07842070878,72.9467447674447,453.7284225118,1217.927327022,3602.93497187038,1.32859748746502,0.0769378843217477,4.9785777478068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
